Trident Hilton	12.9935805	80.1862283	3	Grace Garden	13.11694	80.29639	IN_25___	0.28571427	
Trident Hilton	12.9935805	80.1862283	4	Triplicane	13.055	80.27667	IN_25___	0.28571427	
Trident Hilton	12.9935805	80.1862283	5	Doveton	13.085	80.26139	IN_25___	0.28571427	
Trident Hilton	12.9935805	80.1862283	6	Light House	13.04333	80.2775	IN_25___	0.28571427	
Trident Hilton	12.9935805	80.1862283	7	Triplicane	13.055	80.28139	IN_25___	0.28571427	
Trident Hilton	12.9935805	80.1862283	8	Central	13.08139	80.27722	IN_25___	0.28571427	
Trident Hilton	12.9935805	80.1862283	9	Tripalur Reef	12.6	80.18333	IN_00___	0.21428573	
Trident Hilton	12.9935805	80.1862283	10	Besant Nagar	12.99528	80.26722	IN_25___	0.21428573	
Ashok Nagar Police Station	13.0439637	80.2172896	1	Ashok Nagar	13.03917	80.21472	IN_25___	0.42307693	1
Ashok Nagar Police Station	13.0439637	80.2172896	2	Jeeva Nagar South	13.13389	80.29194	IN_25___	0.34615386	
Ashok Nagar Police Station	13.0439637	80.2172896	3	Azhagiri Nagar	13.05806	80.25778	IN_25___	0.3076923	
Ashok Nagar Police Station	13.0439637	80.2172896	4	Anna Nagar	13.08278	80.21917	IN_25___	0.26923078	
Ashok Nagar Police Station	13.0439637	80.2172896	5	Thyagaraya Nagar	13.03944	80.24	IN_25___	0.26923078	
Ashok Nagar Police Station	13.0439637	80.2172896	6	Cherian Nagar South	13.13778	80.29917	IN_25___	0.26923078	
Ashok Nagar Police Station	13.0439637	80.2172896	7	Nehru Nagar	13.06444	80.28056	IN_25___	0.26923078	
Ashok Nagar Police Station	13.0439637	80.2172896	8	Durga Nagar	13.12444	80.27694	IN_25___	0.23076922	
Ashok Nagar Police Station	13.0439637	80.2172896	9	Shenoy Nagar	13.07972	80.22444	IN_25___	0.23076922	
Ashok Nagar Police Station	13.0439637	80.2172896	10	Shastri Nagar	12.99667	80.26028	IN_25___	0.23076922	
Nanmangalam Reserve Forest	12.9273463	80.1732258	1	Nanmangalam	12.93806	80.17639	IN_25___	0.42307693	1
Nanmangalam Reserve Forest	12.9273463	80.1732258	2	Manimangalam	12.91722	80.04139	IN_25___	0.34615386	
Nanmangalam Reserve Forest	12.9273463	80.1732258	3	Mamallapuram Shore temple	12.61716	80.19925	IN_25___	0.3076923	
Nanmangalam Reserve Forest	12.9273463	80.1732258	4	Cannanpālaiyam	13.09556	79.96611	IN_25___	0.23076922	
Nanmangalam Reserve Forest	12.9273463	80.1732258	5	Pālār River	12.46667	80.16667	IN_00___	0.23076922	
Nanmangalam Reserve Forest	12.9273463	80.1732258	6	Thirumangalam	13.08861	80.2075	IN_25___	0.23076922	
Nanmangalam Reserve Forest	12.9273463	80.1732258	7	Rangarajapuram	13.01056	80.2325	IN_25___	0.23076922	
Nanmangalam Reserve Forest	12.9273463	80.1732258	8	Nalambūr	13.08667	80.17028	IN_25___	0.23076922	
Nanmangalam Reserve Forest	12.9273463	80.1732258	9	Tandalam	13.15472	79.95472	IN_25___	0.23076922	
Nanmangalam Reserve Forest	12.9273463	80.1732258	10	Kalaimagal Nagar	13.02588	80.20513	IN_25___	0.23076922	
Otteri Cemetery	13.0903612	80.2497804	1	Otteri Nullah	13.10528	80.27333	IN_25___	0.46666664	
Otteri Cemetery	13.0903612	80.2497804	2	Otteri	13.08806	80.2525	IN_25___	0.39999998	1
Otteri Cemetery	13.0903612	80.2497804	3	Periamet	13.08194	80.26611	IN_25___	0.39999998	
Otteri Cemetery	13.0903612	80.2497804	4	Hotel Shelter	13.0833	80.2833	IN_25___	0.39999998	
Otteri Cemetery	13.0903612	80.2497804	5	Nagari River	13.18333	79.83333	IN_00___	0.3333333	
Otteri Cemetery	13.0903612	80.2497804	6	Vepery	13.08472	80.2675	IN_25___	0.26666665	
Otteri Cemetery	13.0903612	80.2497804	7	Kutti Paracheri	13.06667	80.23333	IN_25___	0.26666665	
Otteri Cemetery	13.0903612	80.2497804	8	Ottivākkam	12.61667	79.96667	IN_25___	0.26666665	
Otteri Cemetery	13.0903612	80.2497804	9	Kotturpuram	13.01556	80.24667	IN_25___	0.19999999	
Otteri Cemetery	13.0903612	80.2497804	10	Kammankatteri	12.85056	79.97333	IN_25___	0.19999999	
Poonamallee Special Court	13.047026	80.1092227	1	Poonamalle	13.04888	80.11488	IN_25___	0.39999998	1
Poonamallee Special Court	13.047026	80.1092227	2	Komaleeswaranpet	13.06444	80.26861	IN_25___	0.32	
Poonamallee Special Court	13.047026	80.1092227	3	Poompuhar	13.11444	80.20861	IN_25___	0.27999997	
Poonamallee Special Court	13.047026	80.1092227	4	Māmallapuram	12.62639	80.17222	IN_25___	0.24000001	
Poonamallee Special Court	13.047026	80.1092227	5	Raja Annamalaipuram	13.025	80.2575	IN_25___	0.24000001	
Poonamallee Special Court	13.047026	80.1092227	6	Salt Cotaurs	13.09306	80.27417	IN_25___	0.24000001	
Poonamallee Special Court	13.047026	80.1092227	7	Kalakshetra Colony	12.9926	80.26556	IN_25___	0.24000001	
Poonamallee Special Court	13.047026	80.1092227	8	Unamaucheri	12.86111	80.10639	IN_25___	0.24000001	
Poonamallee Special Court	13.047026	80.1092227	9	Teynampet	13.04333	80.25278	IN_25___	0.24000001	
Poonamallee Special Court	13.047026	80.1092227	10	College Bridge	13.06528	80.25583	IN_25___	0.24000001	
District Central Library	13.0584619	80.2582334	1	Ascendas IT Park	12.98624	80.24577	IN_25___	0.3333333	
District Central Library	13.0584619	80.2582334	2	Shastri Nagar	12.99667	80.26028	IN_25___	0.2916667	
District Central Library	13.0584619	80.2582334	3	Central	13.08139	80.27722	IN_25___	0.2916667	
District Central Library	13.0584619	80.2582334	4	Guindy National Park	12.99806	80.22972	IN_25___	0.25	
District Central Library	13.0584619	80.2582334	5	Hospital Bridge	13.07972	80.27639	IN_25___	0.25	
District Central Library	13.0584619	80.2582334	6	Salt Cotaurs	13.09306	80.27417	IN_25___	0.25	
District Central Library	13.0584619	80.2582334	7	Tidel Park	12.98952	80.24944	IN_25___	0.25	
District Central Library	13.0584619	80.2582334	8	Kalakshetra Colony	12.9926	80.26556	IN_25___	0.25	
District Central Library	13.0584619	80.2582334	9	Kalaimagal Nagar	13.02588	80.20513	IN_25___	0.25	
District Central Library	13.0584619	80.2582334	10	Triplicane	13.055	80.27667	IN_25___	0.20833331	
Koyambedu Fruit and Vegetable Market	13.0676342	80.1943768	1	Koyambedu	13.07222	80.20139	IN_25___	0.25	1
Koyambedu Fruit and Vegetable Market	13.0676342	80.1943768	2	Ko-Su-Mani Nagar	13.05333	80.23583	IN_25___	0.25	
Koyambedu Fruit and Vegetable Market	13.0676342	80.1943768	3	Kasīgobind Temple	13.18333	80.31667	IN_25___	0.25	
Koyambedu Fruit and Vegetable Market	13.0676342	80.1943768	4	Pudu Vannarpet	13.13556	80.29806	IN_25___	0.25	
Koyambedu Fruit and Vegetable Market	13.0676342	80.1943768	5	Grt Grand   Chennai	13.0833	80.2833	IN_25___	0.22222221	
Koyambedu Fruit and Vegetable Market	13.0676342	80.1943768	6	Chembarambākkam Tank	13.01083	80.05694	IN_25___	0.22222221	
Koyambedu Fruit and Vegetable Market	13.0676342	80.1943768	7	College Bridge	13.06528	80.25583	IN_25___	0.22222221	
Koyambedu Fruit and Vegetable Market	13.0676342	80.1943768	8	Komagambedu	13.19361	80.0275	IN_25___	0.19444442	
Koyambedu Fruit and Vegetable Market	13.0676342	80.1943768	9	Grt Temple Bay   Beach Resort	13.0833	80.2833	IN_25___	0.19444442	
Koyambedu Fruit and Vegetable Market	13.0676342	80.1943768	10	Ambattur Tank	13.1075	80.13833	IN_25___	0.19444442	
Guindy Estate MTC Terminus	13.0093095	80.2112564	1	Vijayanagar Bus Terminus	12.97612	80.22092	IN_25___	0.5	
Guindy Estate MTC Terminus	13.0093095	80.2112564	2	Guindy National Park	12.99806	80.22972	IN_25___	0.42307693	
Guindy Estate MTC Terminus	13.0093095	80.2112564	3	Guindy	13.00806	80.21944	IN_25___	0.23076922	1
Guindy Estate MTC Terminus	13.0093095	80.2112564	4	Saint Thomas Mount	12.99639	80.20306	IN_25___	0.23076922	
Guindy Estate MTC Terminus	13.0093095	80.2112564	5	Guindy	13.00722	80.21417	IN_25___	0.23076922	1
Guindy Estate MTC Terminus	13.0093095	80.2112564	6	Vaishnavi Temple	13.12984	80.12642	IN_25___	0.23076922	
Guindy Estate MTC Terminus	13.0093095	80.2112564	7	Saint Thomas Mount	12.99389	80.20139	IN_25___	0.23076922	
Guindy Estate MTC Terminus	13.0093095	80.2112564	8	Shiva Temple	13.13643	80.13233	IN_25___	0.23076922	
Guindy Estate MTC Terminus	13.0093095	80.2112564	9	Paranur station	12.71911	79.98231	IN_25___	0.23076922	
Guindy Estate MTC Terminus	13.0093095	80.2112564	10	West Mambalam	13.03889	80.22583	IN_25___	0.19230771	
College of Engineering  Guindy	13.0111175	80.2354575	1	College Bridge	13.06528	80.25583	IN_25___	0.36666667	
College of Engineering  Guindy	13.0111175	80.2354575	2	Covelong Point	12.78333	80.23333	IN_25___	0.3	
College of Engineering  Guindy	13.0111175	80.2354575	3	Guindy	13.00806	80.21944	IN_25___	0.19999999	1
College of Engineering  Guindy	13.0111175	80.2354575	4	Ponneri	13.33868	80.19487	IN_25___	0.19999999	
College of Engineering  Guindy	13.0111175	80.2354575	5	George Town	13.09361	80.28778	IN_25___	0.19999999	
College of Engineering  Guindy	13.0111175	80.2354575	6	Guindy	13.00722	80.21417	IN_25___	0.19999999	1
College of Engineering  Guindy	13.0111175	80.2354575	7	Fort Saint George	13.07833	80.28583	IN_25___	0.19999999	
College of Engineering  Guindy	13.0111175	80.2354575	8	Singara Garden	13.1075	80.29111	IN_25___	0.16666669	
College of Engineering  Guindy	13.0111175	80.2354575	9	Marmalang Bridge	13.01583	80.22611	IN_25___	0.16666669	
College of Engineering  Guindy	13.0111175	80.2354575	10	Kodangiyur	13.13333	80.24694	IN_25___	0.16666669	
Institute of Mental Health   Kilpauk	13.0899543	80.2385127	1	Trident Hilton Chennai	12.9754	80.1656	IN_25___	0.2777778	
Institute of Mental Health   Kilpauk	13.0899543	80.2385127	2	Hotel Holy Night	13.02388	80.22363	IN_25___	0.22222221	
Institute of Mental Health   Kilpauk	13.0899543	80.2385127	3	Kilpauk	13.08	80.24083	IN_25___	0.19444442	1
Institute of Mental Health   Kilpauk	13.0899543	80.2385127	4	Hospital Bridge	13.07972	80.27639	IN_25___	0.19444442	
Institute of Mental Health   Kilpauk	13.0899543	80.2385127	5	Chengalpattu	12.7	79.98333	IN_25___	0.19444442	
Institute of Mental Health   Kilpauk	13.0899543	80.2385127	6	Grt Temple Bay   Beach Resort	13.0833	80.2833	IN_25___	0.19444442	
Institute of Mental Health   Kilpauk	13.0899543	80.2385127	7	Chengalpattu	13.0	80.0	IN_25_1274431__	0.19444442	
Institute of Mental Health   Kilpauk	13.0899543	80.2385127	8	Pulal Tank	13.1625	80.17528	IN_25___	0.19444442	
Institute of Mental Health   Kilpauk	13.0899543	80.2385127	9	Elephinstone Bridge	13.01167	80.26028	IN_25___	0.16666669	
Institute of Mental Health   Kilpauk	13.0899543	80.2385127	10	Saint Thomas Mount	12.99639	80.20306	IN_25___	0.16666669	
Manali Fertilizers Limited   MFL	13.1717143	80.2678229	1	Manali	13.16667	80.26667	IN_25___	0.1875	1
Manali Fertilizers Limited   MFL	13.1717143	80.2678229	2	Fishermans Cove	12.7994	80.247	IN_25___	0.1875	
Manali Fertilizers Limited   MFL	13.1717143	80.2678229	3	Manimangalam	12.91722	80.04139	IN_25___	0.1875	
Manali Fertilizers Limited   MFL	13.1717143	80.2678229	4	Uembilivaram	13.22806	80.16806	IN_25___	0.1875	
Manali Fertilizers Limited   MFL	13.1717143	80.2678229	5	Commander-in-Chief Bridge	13.06167	80.26194	IN_25___	0.15625	
Manali Fertilizers Limited   MFL	13.1717143	80.2678229	6	Choolai Medu	13.05778	80.22667	IN_25___	0.15625	
Manali Fertilizers Limited   MFL	13.1717143	80.2678229	7	Pennalūrpet	13.3	79.85	IN_25___	0.15625	
Manali Fertilizers Limited   MFL	13.1717143	80.2678229	8	Satyamurti Nagar	13.04861	80.24417	IN_25___	0.15625	
Manali Fertilizers Limited   MFL	13.1717143	80.2678229	9	Chennai International Airport	12.98833	80.16578	IN_25___	0.15625	
Manali Fertilizers Limited   MFL	13.1717143	80.2678229	10	Manappakkam	13.01083	80.16861	IN_25___	0.15625	
Adambakkam Lake	12.9862527	80.19672185	1	Adambakkam	12.9925	80.20444	IN_25___	0.6666666	1
Adambakkam Lake	12.9862527	80.19672185	2	Arumbakkam	13.07361	80.20694	IN_25___	0.5333333	
Adambakkam Lake	12.9862527	80.19672185	3	Mambakkam	12.83639	80.16889	IN_25___	0.5333333	
Adambakkam Lake	12.9862527	80.19672185	4	Arumbakkam	13.21778	79.98528	IN_25___	0.5333333	
Adambakkam Lake	12.9862527	80.19672185	5	Kodambakkam	13.04972	80.23194	IN_25___	0.5333333	
Adambakkam Lake	12.9862527	80.19672185	6	Madambakkam	12.8525	80.04667	IN_25___	0.5333333	
Adambakkam Lake	12.9862527	80.19672185	7	Kodambakkam	13.04806	80.22139	IN_25___	0.5333333	
Adambakkam Lake	12.9862527	80.19672185	8	nandambakkam	13.01635	80.1899	IN_25___	0.46666664	
Adambakkam Lake	12.9862527	80.19672185	9	Nandambakkam	12.97944	80.0675	IN_25___	0.46666664	
Adambakkam Lake	12.9862527	80.19672185	10	Nungambakkam	13.06333	80.23417	IN_25___	0.39999998	
Perungudi Lake	12.96633085	80.238744	1	Perungudi	12.97139	80.24722	IN_25___	0.64285713	1
Perungudi Lake	12.96633085	80.238744	2	Karunguli	12.55	79.9	IN_25___	0.4285714	
Perungudi Lake	12.96633085	80.238744	3	Perungāvūr	13.215	80.21694	IN_25___	0.4285714	
Perungudi Lake	12.96633085	80.238744	4	Tirumudipakkam	12.96389	80.08056	IN_25___	0.35714287	
Perungudi Lake	12.96633085	80.238744	5	Perunkalattu	12.91611	80.08472	IN_25___	0.35714287	
Perungudi Lake	12.96633085	80.238744	6	Periamet	13.08194	80.26611	IN_25___	0.35714287	
Perungudi Lake	12.96633085	80.238744	7	Periyakudal	13.08194	80.21278	IN_25___	0.35714287	
Perungudi Lake	12.96633085	80.238744	8	Perumbakkam	12.90528	80.19861	IN_25___	0.35714287	
Perungudi Lake	12.96633085	80.238744	9	Karunanidhi Nagar	13.13333	80.27861	IN_25___	0.28571427	
Perungudi Lake	12.96633085	80.238744	10	Periyar Nagar	13.05722	80.22972	IN_25___	0.28571427	
Chennai Port	13.130973	80.30113225	1	Chennai	13.08891	80.26483	IN_25_7646145__	0.5833334	1
Chennai Port	13.130973	80.30113225	2	Chennai	13.08784	80.27847	IN_25___	0.5833334	1
Chennai Port	13.130973	80.30113225	3	Chennai Beach	13.0925	80.29444	IN_25___	0.5833334	
Chennai Port	13.130973	80.30113225	4	Pennalūr	12.97861	79.9825	IN_25___	0.4166667	
Chennai Port	13.130973	80.30113225	5	Chengalpattu	12.7	79.98333	IN_25___	0.4166667	
Chennai Port	13.130973	80.30113225	6	Chengalpattu	13.0	80.0	IN_25_1274431__	0.4166667	
Chennai Port	13.130973	80.30113225	7	Choolai Medu	13.05778	80.22667	IN_25___	0.4166667	
Chennai Port	13.130973	80.30113225	8	Pennalūrpet	13.3	79.85	IN_25___	0.4166667	
Chennai Port	13.130973	80.30113225	9	Chinnakudal	13.07444	80.22167	IN_25___	0.4166667	
Chennai Port	13.130973	80.30113225	10	Tinnanūr	13.11139	80.02611	IN_25___	0.3333333	
Kodambakkam station area	13.05210675	80.2293858	1	Kodambakkam	13.04972	80.23194	IN_25___	0.4583333	1
Kodambakkam station area	13.05210675	80.2293858	2	Kodambakkam	13.04806	80.22139	IN_25___	0.4583333	1
Kodambakkam station area	13.05210675	80.2293858	3	Ambattur Station	13.11438	80.15187	IN_25___	0.4166667	
Kodambakkam station area	13.05210675	80.2293858	4	Pattabiram Station	13.11306	80.18	IN_25___	0.4166667	
Kodambakkam station area	13.05210675	80.2293858	5	Paranur station	12.71911	79.98231	IN_25___	0.4166667	
Kodambakkam station area	13.05210675	80.2293858	6	Adambakkam	12.9925	80.20444	IN_25___	0.375	
Kodambakkam station area	13.05210675	80.2293858	7	Madambakkam	12.8525	80.04667	IN_25___	0.375	
Kodambakkam station area	13.05210675	80.2293858	8	Mambakkam	12.83639	80.16889	IN_25___	0.3333333	
Kodambakkam station area	13.05210675	80.2293858	9	nandambakkam	13.01635	80.1899	IN_25___	0.3333333	
Kodambakkam station area	13.05210675	80.2293858	10	Nandambakkam	12.97944	80.0675	IN_25___	0.3333333	
Kodungaiyur Landfill Site	13.1359044	80.2694821	1	Kodungaiyur	13.13056	80.25833	IN_25___	0.44	1
Kodungaiyur Landfill Site	13.1359044	80.2694821	2	Kodangiyur	13.13333	80.24694	IN_25___	0.36	1
Kodungaiyur Landfill Site	13.1359044	80.2694821	3	Konnur Tank	13.105	80.20028	IN_25___	0.32	
Kodungaiyur Landfill Site	13.1359044	80.2694821	4	Korttalaiyār River	13.23444	80.25639	IN_25___	0.27999997	
Kodungaiyur Landfill Site	13.1359044	80.2694821	5	Ambattur Tank	13.1075	80.13833	IN_25___	0.24000001	
Kodungaiyur Landfill Site	13.1359044	80.2694821	6	Irungattukottai	12.99639	79.99083	IN_25___	0.24000001	
Kodungaiyur Landfill Site	13.1359044	80.2694821	7	Kosisttalaiyār River	13.25	80.31667	IN_25___	0.24000001	
Kodungaiyur Landfill Site	13.1359044	80.2694821	8	Nungambakkam	13.06333	80.23417	IN_25___	0.19999999	
Kodungaiyur Landfill Site	13.1359044	80.2694821	9	Perambur Locoworks	13.10694	80.22639	IN_25___	0.19999999	
Kodungaiyur Landfill Site	13.1359044	80.2694821	10	Todukkadu	12.99278	79.93472	IN_25___	0.19999999	
Andal Nagar  Adambakkam	12.97986485	80.20718515	1	Adambakkam	12.9925	80.20444	IN_25___	0.43478262	1
Andal Nagar  Adambakkam	12.97986485	80.20718515	2	Anna Nagar West	13.09194	80.19917	IN_25___	0.43478262	
Andal Nagar  Adambakkam	12.97986485	80.20718515	3	Anna Nagar	13.08278	80.21917	IN_25___	0.39130437	
Andal Nagar  Adambakkam	12.97986485	80.20718515	4	Thyagaraya Nagar	13.03944	80.24	IN_25___	0.3043478	
Andal Nagar  Adambakkam	12.97986485	80.20718515	5	Indira Nagar	12.99667	80.25306	IN_25___	0.3043478	
Andal Nagar  Adambakkam	12.97986485	80.20718515	6	Gāndhī Nagar	13.00639	80.25417	IN_25___	0.3043478	
